Date,Open,High,Low,Close,Tick_Vol
5/8/2022,1881.77,1885.563,1799.05,1811.03,514217
5/15/2022,1810.17,1849.36,1786.595,1846.09,751802
5/22/2022,1844.85,1869.66,1840.86,1852.89,357677
5/29/2022,1851.53,1873.997,1828.44,1850.52,313690
6/5/2022,1850.05,1875.92,1825.03,1871.05,354923
6/12/2022,1874.51,1878.85,1805.04,1838.81,533112
6/19/2022,1837.07,1847.79,1816.84,1825.94,412827
6/26/2022,1837.19,1840.93,1784.43,1810.7,448618
7/3/2022,1811.43,1814.15,1727.2,1742,423471
7/10/2022,1742.15,1745.34,1697.5,1707.65,952348
7/17/2022,1707.19,1739.16,1680.813,1727.05,847296
7/24/2022,1727.33,1767.85,1711.468,1765.58,873170
7/31/2022,1763.11,1794.87,1754.2,1775.03,888287
8/7/2022,1773.27,1807.88,1770.53,1801.88,734103
8/14/2022,1802.33,1802.33,1745.47,1746.55,736341
8/21/2022,1746.12,1765.433,1727.65,1737.42,471967
8/28/2022,1736.1,1745.425,1688.775,1711.48,912952
9/4/2022,1712.62,1729.42,1691.305,1716.45,891432
9/11/2022,1715.77,1735.05,1654.09,1675.55,1022569
9/18/2022,1675.949,1687.98,1639.671,1643.589,1085159
9/25/2022,1643.449,1675.3,1614.749,1660.26,1268047
10/2/2022,1659.619,1729.42,1659.515,1694.339,1079966
10/9/2022,1695.42,1699.72,1640.11,1643.899,1121325
10/16/2022,1644.099,1668.37,1617.09,1657.21,1073811
10/23/2022,1657.039,1674.905,1637.93,1644.419,1181661
10/30/2022,1642.72,1681.849,1616.59,1681.389,1164473
11/6/2022,1672.912,1772.56,1664.65,1770.939,1246637
11/13/2022,1763.799,1786.393,1747.45,1750.473,1235959
11/20/2022,1750.059,1761.07,1721.58,1754.419,839082
11/27/2022,1756.049,1804.35,1739.4,1797.129,1145880
12/4/2022,1796.099,1809.997,1765.76,1796.589,1041554
12/11/2022,1795.649,1824.45,1773.69,1792.759,1119563
12/18/2022,1790.529,1823.72,1783.77,1797.83,946344
12/25/2022,1799.38,1833.29,1796.96,1823.679,615815
1/1/2023,1827.01,1869.84,1823.7,1865.279,926928
1/8/2023,1865.629,1921.86,1865.179,1919.769,1036300
1/15/2023,1920.299,1937.44,1896.537,1925.599,986487
1/22/2023,1926.759,1949.09,1911.28,1927.509,941697
1/29/2023,1927.229,1959.71,1861.27,1864.179,1127108
2/5/2023,1864.679,1890.15,1852.64,1865.239,1027822
2/12/2023,1864.89,1870.439,1818.84,1841.859,966701
2/19/2023,1840.509,1847.41,1808.86,1810.689,851567
2/26/2023,1810.71,1856.84,1804.61,1856.059,883804
3/5/2023,1854.609,1870.12,1809.31,1867.629,1038634
3/12/2023,1872.479,1989.049,1871.45,1987.669,1594935
